id	label	title	paragraph	sentence
12	0	Algae	5	Most are phototrophic, although some are mixotrophic, deriving energy both from photosynthesis and uptake of organic carbon either by osmotrophy, myzotrophy, or phagotrophy.
22	0	Algae	7	"The Latinization, ""fūcus"", meant primarily the cosmetic rouge."
42	0	Algae	16	However, the exact origin of the chloroplasts is different among separate lineages of algae, reflecting their acquisition during different endosymbiotic events.
120	0	Algae	39	Most estimates also omit microscopic algae, such as phytoplankton.
129	0	Algae	42	Marine spores are often spread by ocean currents.
197	0	Air pollution	2	According to the 2014 World Health Organization report, air pollution in 2012 caused the deaths of around 7 million people worldwide, an estimate roughly echoed by the International Energy Agency.
200	0	Air pollution	3	A pollutant can be of natural origin or man-made.
207	0	Air pollution	3	Some pollutants may be both primary and secondary: they are both emitted directly and formed from other primary pollutants.
284	0	Air pollution	24	Following this assessment, the EPA acted to protect public health by lowering the National Ambient Air Quality Standards (NAAQS) for ground-level ozone to 70 parts per billion (ppb).
323	0	Air pollution	36	A 2014 WHO worldwide survey on maternal and perinatal health found a statistically significant association between low birth weights (LBW) and increased levels of exposure to PM2.5.
363	0	Air pollution	46	These productivity losses are caused by deaths due to diseases caused by air pollution.
445	0	Air pollution	73	This can be interpreted as recognition that cities can transcend the traditional national government organisational hierarchy and develop solutions to air pollution using global governance networks, for example through transnational relations.
478	0	Attribution of recent climate change	10	"Detection"" of a signal requires demonstrating that an observed change is statistically significantly different from that which can be explained by natural internal variability."
503	1	Attribution of recent climate change	19	More than 18% of anthropogenic greenhouse gas emissions are attributed to livestock and livestock-related activities such as deforestation and increasingly fuel-intensive farming practices.
510	0	Attribution of recent climate change	21	Natural factors also contribute.
519	1	Attribution of recent climate change	24	Among the possible factors that could produce changes in global mean temperature are internal variability of the climate system, external forcing, an increase in concentration of greenhouse gases, or any combination of these.
525	0	Attribution of recent climate change	25	"No single study is a ""smoking gun."
527	1	Attribution of recent climate change	26	The first line of evidence is based on a physical understanding of how greenhouse gases trap heat, how the climate system responds to increases in greenhouse gases, and how other human and natural factors influence climate.
545	1	Attribution of recent climate change	28	When human influences are removed from the model experiments, results suggest that the surface of the Earth would actually have cooled slightly over the last 50 years (see graph, opposite).
582	1	Attribution of recent climate change	38	(2012) suggested that human activities have greatly increased the risk of summertime heat waves.
590	0	Attribution of recent climate change	39	"While not directly citing Dole ""et al."
595	0	Attribution of recent climate change	40	There are a number of examples of published and informal support for the consensus view.
601	0	Attribution of recent climate change	40	Two examples include:
604	0	Attribution of recent climate change	41	Over larger regions, averaging reduces natural variability of the climate, making detection and attribution easier.
645	1	Attribution of recent climate change	53	Over this time period (1750 to 2005), the estimated contribution of solar irradiance to radiative forcing was 5% the value of the combined radiative forcing due to increases in the atmospheric concentrations of carbon dioxide, methane and nitrous oxide (see graph opposite).
695	0	Biome	11	The principal biomes of the world by Kendeigh (1961):
697	0	Biome	12	His scheme can be seen as a simplification of Holdridge's; more readily accessible, but missing Holdridge's greater specificity.
713	0	Biome	23	Robert G. Bailey nearly developed a biogeographical classification system of ecoregions for the United States in a map published in 1976.
730	0	Biome	38	Anthropogenic biomes offer a new way forward in ecology and conservation by recognizing the irreversible coupling of human and ecological systems at global scales and moving us toward an understanding of how best to live in and manage our biosphere and the anthropogenic biomes we live in.
758	0	Biosphere	8	Birds typically fly at altitudes as high as and fish live as much as underwater in the Puerto Rico Trench.
794	0	Bjørn Lomborg	3	He is a strong advocate for focusing attention and resources on what he perceives as far more pressing world problems, such as AIDS, malaria and malnutrition.
856	0	Bjørn Lomborg	23	The rulings of the Danish authorities in 2003–2004 left Lomborg's critics frustrated.
874	0	Bjørn Lomborg	29	Lomborg is gay and a vegetarian.
880	0	Bjørn Lomborg	31	He is also a regular contributor to Project Syndicate since 2005.
883	0	Bjørn Lomborg	33	The film received a media critic collective rating of 51% from Rotten Tomatoes and 61% from Metacritic.
885	0	Carbon	1	"Carbon (from ""coal"") is a chemical element with the symbol C and atomic number 6."
886	0	Carbon	1	It is nonmetallic and tetravalent—making four electrons available to form covalent chemical bonds.
911	0	Carbon	5	Graphite is much more reactive than diamond at standard conditions, despite being more thermodynamically stable, as its delocalised pi system is much more vulnerable to attack.
927	0	Carbon	9	Carbon monoxide can be recycled to smelt even more iron:
932	0	Carbon	11	The three relatively well-known allotropes of carbon are amorphous carbon, graphite, and diamond.
949	0	Carbon	12	Here, each atom is bonded tetrahedrally to four others, forming a 3-dimensional network of puckered six-membered rings of atoms.
993	0	Carbon	21	Another source puts the amount added to the atmosphere for the period since 1750 at 879 Gt, and the total going to the atmosphere, sea, and land (such as peat bogs) at almost 2,000 Gt.
994	0	Carbon	22	Carbon is a constituent (about 12% by mass) of the very large masses of carbonate rock (limestone, dolomite, marble and so on).
1013	0	Carbon	27	Carbon-14 (C) is a naturally occurring radioisotope, created in the upper atmosphere (lower stratosphere and upper troposphere) by interaction of nitrogen with cosmic rays.
1031	0	Carbon	33	Thus, processes that use carbon must obtain it from somewhere and dispose of it somewhere else.
1056	0	Carbon	39	Among these are the simple oxides of carbon.
1057	0	Carbon	39	The most prominent oxide is carbon dioxide ().
1142	0	Carbon	58	Crude oil is distilled in refineries by the petrochemical industry to produce gasoline, kerosene, and other products.
1152	0	Carbon	60	Charcoal is used as a drawing material in artwork, barbecue grilling, iron smelting, and in many other applications.
1218	0	Coal	7	Coalification starts with dead plant matter decaying into peat.
1238	0	Coal	15	"In Roman Britain, with the exception of two modern fields, ""the Romans were exploiting coals in all the major coalfields in England and Wales by the end of the second century AD""."
